name,url,type,aliases,name_zh_tw,name_zh_cn,aliases_zh_tw,aliases_zh_cn
fields_choked_with_growth,https://suisoko.com/Spirits/Rampant_Green/BaseCards300pxiBaseUnique37png_combined.webp,unique,,草木進逼,草木进逼,,
stem_the_flow_of_fresh_water,https://suisoko.com/Spirits/Rampant_Green/BaseCards300pxiBaseUnique38png_combined.webp,unique,,攔阻水源,拦阻水源,,
gift_of_proliferation,https://suisoko.com/Spirits/Rampant_Green/BaseCards300pxiBaseUnique36png_combined.webp,unique,,增長的禮贈,增长的礼赠,,
overgrow_in_a_night,https://suisoko.com/Spirits/Rampant_Green/BaseCards300pxiBaseUnique35png_combined.webp,unique,,一夜叢林,一夜丛林,,
reach_from_the_infinite_darkness,https://suisoko.com/Spirits/Darkness/NIUnique39png_combined.webp,unique,,黑暗之觸,黑暗之触,,
emerge_from_the_dread_night_wind,https://suisoko.com/Spirits/Darkness/NIUnique40png_combined.webp,unique,,從暗夜寒風中降臨,从暗夜寒风中降临,,
swallowed_by_the_endless_dark,https://suisoko.com/Spirits/Darkness/NIUnique38png_combined.webp,unique,,消失於無邊黑暗中,消失于无边黑暗中,,
terror_of_the_hunted,https://suisoko.com/Spirits/Darkness/NIUnique37png_combined.webp,unique,,驚弓之鳥,惊弓之鸟,,
call_on_midnights_dream,https://suisoko.com/Spirits/Bringer/BaseCards300pxiBaseUnique32png_combined.webp,unique,,呼喚午夜之夢,呼唤午夜之梦,,
dreams_of_the_dahan,https://suisoko.com/Spirits/Bringer/BaseCards300pxiBaseUnique33png_combined.webp,unique,,達漢夢境,达汉梦境,,
predatory_nightmares,https://suisoko.com/Spirits/Bringer/BaseCards300pxiBaseUnique30png_combined.webp,unique,,惡夢捕獵,恶梦捕猎,,
dread_apparitions,https://suisoko.com/Spirits/Bringer/BaseCards300pxiBaseUnique31png_combined.webp,unique,,駭人亡魂,骇人亡魂,,
inspire_a_winding_dance,https://suisoko.com/Spirits/Earthquakes/NIUnique35png_combined.webp,unique,,引領交纏之舞,引领交缠之舞,,
exaltation_of_echoed_steps,https://suisoko.com/Spirits/Earthquakes/NIUnique34png_combined.webp,unique,,踢踏迴響之樂,踢踏回响之乐,,
rumblings_portend_a_greater_quake,https://suisoko.com/Spirits/Earthquakes/NIUnique30png_combined.webp,unique,,地震前兆,地震前兆,,
radiating_tremors,https://suisoko.com/Spirits/Earthquakes/NIUnique32png_combined.webp,unique,,震顫漫延,震颤漫延,,
gift_of_seismic_energy,https://suisoko.com/Spirits/Earthquakes/NIUnique33png_combined.webp,unique,,震波的禮贈,震波的礼赠,,
resounding_footfalls_sow_dismay,https://suisoko.com/Spirits/Earthquakes/NIUnique31png_combined.webp,unique,,帶來絕望的激昂腳步,带来绝望的激昂脚步,,
gift_of_furious_might,https://suisoko.com/Spirits/Devouring_Teeth/HCards300pxiHUnique23png_combined.webp,unique,,狂暴之力的禮贈,狂暴之力的礼赠,,
herd_towards_the_lurking_maw,https://suisoko.com/Spirits/Devouring_Teeth/HCards300pxiHUnique22png_combined.webp,unique,,驅趕至潛伏大口,驱赶至潜伏大口,,
ferocious_rampage,https://suisoko.com/Spirits/Devouring_Teeth/HCards300pxiHUnique24png_combined.webp,unique,,瀦突猛進,潴突猛进,,
mark_territory_with_scars_and_teeth,https://suisoko.com/Spirits/Devouring_Teeth/HCards300pxiHUnique21png_combined.webp,unique,,爪痕齒印是地盤的標記,爪痕齿印是地盘的标记,,
unbearable_deluge,https://suisoko.com/Spirits/Downpour/FnFCards300pxiFnFUnique9png_combined.webp,unique,,衰氣豪雨,衰气豪雨,,
